tender_id,card_id,status,files_count,name_cont,ref_cont,customer_cont,distinctive_tokens,suspect_files,name
"0372100047626000120","94547217","ok","3","1","0.462","0.133","16","04_Приложение_4_к_извещению_Требования_к_составу_аукционной_зая.docx.txt","Поставка программно-аппаратного комплекса, адаптированного для внедрения системы поддержки принятия врачебных решений в области отоларинголо"
"0373200082126000210","94546269","ok","8","1","0.904","0.429","10","05_Приложения_к_Техническому_заданию_Приложение_4_к_Техническом.docx.txt ; 09_В_помощь_участникам_закупок_В_помощь_участникам_закупок.pdf.txt","Оказание услуг по разметке 3D объектов с видеокамер и датчиков компьютерного зрения (лидары) с целью обучения нейросетей"
"811500001126000023","","ok","1","1","0.571","1","11","","Модернизация Единой информационной системы по учету и управлению государственным и муниципальным имуществом Республики Татарстан"
"32616033240","94481176","ok","1","1","0.384","1","8","","Оказание услуг по содействию Заказчику в формировании и поддержании положительного имиджа в информационном пространстве"
"0846500000626000337","94431689","ok","5","1","0.895","1","7","","Работы по модернизации информационно-аналитического портала Правительства Липецкой области"
"0101500000326000125","94403543","ok","5","1","0.74","0.75","14","","Оказание услуг по содержанию системы автоматической фотовидеофиксации нарушений правил дорожного движения и распознавания изображения регист"
"131200001026002883","","ok","1","0.931","0.44","0.625","29","","2026-03249 Выполнение работ по поддержке и сопровождению государственной информационной системы Воронежской области «Региональный сегмент Ед"
"372200022226000040","","ok","1","1","0.632","0.667","11","","Оказание услуг по эксплуатации и сопровождению модулей АИС WEB «Поликлиника» с предоставлением неисключительных прав использования во втором"
"0131200001026002883","94380055","ok","5","1","0.761","0.5","29","","2026-03249 Выполнение работ по поддержке и сопровождению государственной информационной системы Воронежской области «Региональный сегмент Ед"
"131200001026002858","","ok","1","0.913","0.43","0.625","23","","2026-03194 Выполнение работ по поддержке и сопровождению государственной информационной системы Воронежской области «Региональный сегмент Ед"
"173100012026000005","","ok","1","1","0.5","1","15","","Оказание услуг по эксплуатации государственной информационной системы по предупреждению, выявлению и пресечению ограничивающих конкуренцию с"
"173200001426000885","","ok","1","1","0.597","0.6","22","","Выполнение работ по развитию государственной информационной системы: автоматизированная информационная система города Москвы «Единая медицин"
"131200001026002857","","ok","3","1","0.712","1","32","","2026-03187 Выполнение работ по поддержке и сопровождению государственной информационной системы Воронежской области «Региональный сегмент Ед"
"358300050426000002","","ok","1","1","0.617","1","9","","Услуги по сопровождению компьютерных систем для нужд Отдела образования Администрации Багаевского района на 2026г."
"0131200001026002858","94341556","ok","5","1","0.753","0.667","23","","2026-03194 Выполнение работ по поддержке и сопровождению государственной информационной системы Воронежской области «Региональный сегмент Ед"
"0131200001026002857","94341553","ok","4","1","0.754","0.5","32","derived-2-001-prilozhenie-4-trebovaniya-k-soderzhaniyu-sostavu-zayavki-instrukciya-po-zapolneniyu_3187.docx.txt","2026-03187 Выполнение работ по поддержке и сопровождению государственной информационной системы Воронежской области «Региональный сегмент Ед"
"859200001126006005","","ok","2","1","0.758","1","18","","Оказание услуг в целях автоматизации взаимодействия учреждений службы занятости с гражданами и работодателями, включая передачу неисключител"
"375200045626000004","","ok","1","1","0.462","1","24","","Оказание услуг по технической поддержке и сопровождению программного обеспечения «Система поддержки принятия врачебных решений «WEBIOMED.DHR"
"2060500000126000848","94313073","ok","5","1","0.821","1","18","derived-2-001-prilozhenie-n3-k-izvescheniyu-trebovaniya-k-soderzhaniyu-i-sostavu-zayavki-to-ais-.docx.txt","Оказание услуг по сопровождению подсистем информационно-аналитической системы для автоматизации деятельности регионального оператора «АИС ГО"
"32616004003","94282288","ok","3","1","0.779","1","9","","Выполнение работ по созданию системы формирования ответов на обращения на базе технологий искусственного интеллекта"
