tender_id,card_id,verdict,relevant,boilerplate_only_ai,info_has_real_ai,classification,relevance_score,product_category,customer,tender_name
"0372100047626000120","94547217","relevant_soft","true","true","","ai_core","10","medical_ai_support","Федеральное государственное бюджетное учреждение ""Санкт-Пете","Поставка программно-аппаратного комплекса, адаптированного для внедрения системы поддержки принятия врачебных решений в области от"
"0373200082126000210","94546269","relevant_ai","true","false","","ai_core","9","gov_regulatory_analytics","Государственное бюджетное учреждение города Москвы ""Музей ре","Оказание услуг по разметке 3D объектов с видеокамер и датчиков компьютерного зрения (лидары) с целью обучения нейросетей"
"94517974","94517974","relevant_ai","true","true","","ai_core","10","computer_vision","Росатом","Право заключения договора на оказание услуг по реализации решения «системы искусственного интеллекта по распознаванию результатов "
"32616037287","94509926","ambiguous","false","false","true","automation_software","35","enterprise_rag_llm_assistant","ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТА","Приобретение права на использование в виде простой (неисключительной) лицензии на внедрённый программный комплекс «Робот Диспетчер"
"811500001126000023","","relevant_soft","true","false","","automation_software","22","analytics_monitoring","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЦИФРОВОЙ ТРАНСФОР","Модернизация Единой информационной системы по учету и управлению государственным и муниципальным имуществом Республики Татарстан"
"32616035986","94498226","relevant_soft","true","false","","ai_core","21","software_services","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖД","Оказание услуг по предоставлению доступа к базе данных резюме с возможностью просмотра контактной информации соискателя с использо"
"0848300045426000402","94506847","relevant_ai","true","true","","ai_core","20","analytics_monitoring","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУП","Оказание услуг по сбору, обработке, контент-анализу информации и сопровождению модулей информационно-аналитической системы с испол"
"32616036607","94506186","relevant_soft","true","false","","automation_software","16","software_services","АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""","Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключе"
"94452255","94452255","relevant_ai","true","false","","ai_core","28","enterprise_rag_llm_assistant","ОАО ""ФСК ЕЭС""","Право заключения договора на выполнение работ по созданию системы «Интеллектуальный помощник» с использованием искусственного инте"
"851200000626003499","","relevant_soft","true","true","","ai_core","22","medical_ai_support","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""У","Оказание услуг по технической поддержке компонента Единой государственной информационной системы в сфере здравоохранения Новосибир"
