tender_id,card_id,status,mismatches,name_score,customer_score,info_corr,analysis_score,price_dash,price_api,card_id_match,reg_num_match,has_card,dash_name,api_name,dash_customer,api_customer,tenderguru_link
"0372100047626000120","94547217","ok","","1","1","1","0.003","57140003","57140003","true","true","true","Поставка программно-аппаратного комплекса, адаптированного для внедрения системы поддержки принятия врачебных решений в области отоларинголо","Поставка программно-аппаратного комплекса, адаптированного для внедрения системы поддержки принятия врачебных решений в области отоларинголо","Федеральное государственное бюджетное учреждение ""Санкт-Петербургский научно-исследовательский инсти","Федеральное государственное бюджетное учреждение ""Санкт-Петербургский научно-исследовательский инсти","https://www.tenderguru.ru/tender/94547217"
"0373200082126000210","94546269","ok","","1","1","1","0.006","20000000","20000000","true","true","true","Оказание услуг по разметке 3D объектов с видеокамер и датчиков компьютерного зрения (лидары) с целью обучения нейросетей","Оказание услуг по разметке 3D объектов с видеокамер и датчиков компьютерного зрения (лидары) с целью обучения нейросетей","Государственное бюджетное учреждение города Москвы ""Музей ретро-автомобилей""","Государственное бюджетное учреждение города Москвы ""Музей ретро-автомобилей""","https://www.tenderguru.ru/tender/94546269"
"94517974","94517974","ok","","1","1","1","0","2461621","2461621","true","","true","Право заключения договора на оказание услуг по реализации решения «системы искусственного интеллекта по распознаванию результатов металлогра","Право заключения договора на оказание услуг по реализации решения «системы искусственного интеллекта по распознаванию результатов металлогра","Росатом","Росатом","https://www.tenderguru.ru/tender/94517974"
"32616037287","94509926","ok","","1","1","1","0.012","8006000","8006000","true","","true","Приобретение права на использование в виде простой (неисключительной) лицензии на внедрённый программный комплекс «Робот Диспетчер ЖКХ» для ","Приобретение права на использование в виде простой (неисключительной) лицензии на внедрённый программный комплекс «Робот Диспетчер ЖКХ» для ","ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""УФАВОДОКАНАЛ""","ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""УФАВОДОКАНАЛ""","https://www.tenderguru.ru/tender/94509926"
"811500001126000023","","ok","","1","1","","0.041","200000000","200000000","","","true","Модернизация Единой информационной системы по учету и управлению государственным и муниципальным имуществом Республики Татарстан","Модернизация Единой информационной системы по учету и управлению государственным и муниципальным имуществом Республики Татарстан","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЦИФРОВОЙ ТРАНСФОРМАЦИИ РЕСПУБЛИКИ ТАТАРСТАН""","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЦИФРОВОЙ ТРАНСФОРМАЦИИ РЕСПУБЛИКИ ТАТАРСТАН""",""
"32616035986","94498226","ok","","1","1","1","0.069","316649","316649","true","","true","Оказание услуг по предоставлению доступа к базе данных резюме с возможностью просмотра контактной информации соискателя с использованием API","Оказание услуг по предоставлению доступа к базе данных резюме с возможностью просмотра контактной информации соискателя с использованием API","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУ","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУ","https://www.tenderguru.ru/tender/94498226"
"32616037977","94511066","ok","","1","1","1","0.011","33610000","33610000","true","","true","Поставка медицинских изделий с принадлежностями для нужд Центра, ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации спе","Поставка медицинских изделий с принадлежностями для нужд Центра, ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации спе","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ","https://www.tenderguru.ru/tender/94511066"
"0848300045426000402","94506847","ok","","1","1","1","0.009","8768833","8768833","true","true","true","Оказание услуг по сбору, обработке, контент-анализу информации и сопровождению модулей информационно-аналитической системы с использованием ","Оказание услуг по сбору, обработке, контент-анализу информации и сопровождению модулей информационно-аналитической системы с использованием ","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК ОДИНЦОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МО","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК ОДИНЦОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МО","https://www.tenderguru.ru/tender/94506847"
"0345100003326000071","94511664","ok","","1","1","1","0","1100471","1100471","true","true","true","Поставка оборудования для системы телевизионного наблюдения (СТН)","Поставка оборудования для системы телевизионного наблюдения (СТН)","Учреждение Российской академии наук Петербургский институт ядерной физики им.Б.П.Константинова РАН","Учреждение Российской академии наук Петербургский институт ядерной физики им.Б.П.Константинова РАН","https://www.tenderguru.ru/tender/94511664"
"32616036607","94506186","ok","","1","1","1","0.113","","","true","","true","Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения догово","Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения догово","АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""","https://www.tenderguru.ru/tender/94506186"
"94452255","94452255","ok","","1","1","1","0.004","99294797","99294797","true","","true","Право заключения договора на выполнение работ по созданию системы «Интеллектуальный помощник» с использованием искусственного интеллекта, в ","Право заключения договора на выполнение работ по созданию системы «Интеллектуальный помощник» с использованием искусственного интеллекта, в ","ОАО ""ФСК ЕЭС""","ОАО ""ФСК ЕЭС""","https://www.tenderguru.ru/tender/94452255"
"851200000626003499","","ok","","1","1","","0.016","7699867","7699867","","","true","Оказание услуг по технической поддержке компонента Единой государственной информационной системы в сфере здравоохранения Новосибирской облас","Оказание услуг по технической поддержке компонента Единой государственной информационной системы в сфере здравоохранения Новосибирской облас","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НОВОСИБИРСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ КОНТРАКТНОЙ СИСТЕМЫ""","государственное казенное учреждение Новосибирской области ""Управление контрактной системы""",""
"360100030526000746","","ok","","1","0.667","","0.01","62835","62835","","","true","Оказание услуг по внедрению виртуальной АТС","Оказание услуг по внедрению виртуальной АТС","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САРАТОВСКИЙ ГО","Государственное бюджетное образовательное учреждение высшего профессионального образования ""Саратовс",""
"816500000626008791","","ok","","1","1","","0.004","1676500","1676500","","","true","Оказание услуг по предоставлению права использования программного обеспечения для организации системы сбора, хранения, обработки, анализа, м","Оказание услуг по предоставлению права использования программного обеспечения для организации системы сбора, хранения, обработки, анализа, м","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЦЕНТР ЗАКУПОК РЕСПУБЛИКИ САХА (ЯКУТИЯ)",""
"rq_0372100003426000793","94474229","ok","","1","1","1","0.201","","","true","","true","Запрос цены. Выполнение работ по разработке рабочего проекта (РП) программного обеспечения для защиты от атак на интеллектуальные системы AI","Запрос цены. Выполнение работ по разработке рабочего проекта (РП) программного обеспечения для защиты от атак на интеллектуальные системы AI","Федеральное государственное образовательное учреждение высшего профессионального образования ""Санкт-","Федеральное государственное образовательное учреждение высшего профессионального образования ""Санкт-","https://www.tenderguru.ru/tender/94474229"
"32616033240","94481176","ok","","1","1","1","0.018","18507150","18507150","true","","true","Оказание услуг по содействию Заказчику в формировании и поддержании положительного имиджа в информационном пространстве","Оказание услуг по содействию Заказчику в формировании и поддержании положительного имиджа в информационном пространстве","МОСКОВСКИЙ ФОНД РЕНОВАЦИИ ЖИЛОЙ ЗАСТРОЙКИ","МОСКОВСКИЙ ФОНД РЕНОВАЦИИ ЖИЛОЙ ЗАСТРОЙКИ","https://www.tenderguru.ru/tender/94481176"
"rq_0373100124926000115","94473149","ok","","1","1","1","0.031","","","true","","true","Запрос цены. Закупка вычислительных узлов","Запрос цены. Закупка вычислительных узлов","федеральное государственное бюджетное учреждение ""Главный центр связи и защиты информации Министерст","федеральное государственное бюджетное учреждение ""Главный центр связи и защиты информации Министерст","https://www.tenderguru.ru/tender/94473149"
