tender_id,decision,reason,product_category,tender_name
"32616037287","keep","настоящий софт/ИС/AI","enterprise_rag_llm_assistant","Приобретение права на использование в виде простой (неисключительной) лицензии на внедрённый программный комплекс «Робот Диспетчер"
"32616037977","garbage","поставка медицинских изделий","medical_ai_support","Поставка медицинских изделий с принадлежностями для нужд Центра, ввод в эксплуатацию медицинских изделий, обучение правилам эксплу"
"0345100003326000071","garbage","железо CCTV (видеонаблюдение)","medical_ai_support","Поставка оборудования для системы телевизионного наблюдения (СТН)"
"360100030526000746","garbage","виртуальная АТС (телефония)","medical_ai_support","Оказание услуг по внедрению виртуальной АТС"
"32616033240","garbage","PR / формирование имиджа","computer_vision","Оказание услуг по содействию Заказчику в формировании и поддержании положительного имиджа в информационном пространстве"
"0","garbage","материалы (битый tender_id)","","Материалы ООО ""Рудное"""
"372200022226000040","keep","настоящий софт/ИС/AI","medical_ai_support","Оказание услуг по эксплуатации и сопровождению модулей АИС WEB «Поликлиника» с предоставлением неисключительных прав использования"
"358300050426000002","garbage","общее ИТ-сопровождение, не продукт","gov_regulatory_analytics","Услуги по сопровождению компьютерных систем для нужд Отдела образования Администрации Багаевского района на 2026г."
"94319489","garbage","АРМ (железо)","software_services","Поставка автоматизированного рабочего места"
"32616005655","garbage","корпоративная почта Яндекс","computer_vision","Оказание комплексных информационно-технических услуг сервиса корпоративной почты «Яндекс для бизнеса», тариф Базовый для нужд ФГУП"
"2060500000126000848","keep","настоящий софт/ИС/AI","analytics_monitoring","Оказание услуг по сопровождению подсистем информационно-аналитической системы для автоматизации деятельности регионального операто"
"94304049","garbage","интерактивное оборуд. ФГОС","software_services","Поставка интерактивного оборудования по ФГОС"
"94308439","garbage","оборуд. для учебных целей","software_services","Поставка оборудования для учебных целей"
"94309322","garbage","placeholder «Нематериальные активы»","enterprise_rag_llm_assistant","""Нематериальные активы"""
"32616007578","garbage","оборуд. для учебных целей","software_services","Поставка оборудования для учебных целей"
"94314045","garbage","АРМ (железо)","software_services","Поставка автоматизированного рабочего места"
"32615985739","keep","настоящий софт/ИС/AI","analytics_monitoring","Выполнение работ по развитию АС Геология 2.0 в части лаборатории физико-механических свойств (1 очередь)"
"266100000526000072","garbage","электронное устройство ориентации","","Поставка вспомогательных электронных средств ориентации с функциями определения расстояния до объектов, определения категорий объе"
"373100072126000442","garbage","поставка оборудования","medical_ai_support","Поставка оборудования для нужд ФГБНУ «РНЦХ им. акад. Б.В.Петровского»"
"32615974428","garbage","оборуд. для БПЛА (железо)","software_services","Поставка оборудования для моделирования и управления беспилотными летательными аппаратами"
"32615976817","garbage","рабочая станция (железо)","software_services","Поставка рабочей станции"
"32615972221","garbage","техника для вуза","software_services","Поставка техники для нужд государственного образовательного учреждения высшего образования Московской области «Государственный гум"
"rq_0132300008726000006","keep","настоящий софт/ИС/AI","software_services","Запрос цены. Оказание услуг по развитию и сопровождению подсистемы «ПК «Триумф» МИС «Финансы», предназначенной для автоматизации б"
"32615958208","garbage","электронные комплектующие","software_services","138_Поставка электронных комплектующих для нужд кафедры автоматики и управления КНИТУ-КАИ"
"93983068","garbage","СБИС ЭО (перепродажа лицензии)","software_services","Передача прав использования СБИС модуль ЭО-Базовый, Бюджет"
"32615880806","garbage","учебное оборудование","software_services","Поставка учебного оборудования"
"32615872243","garbage","компьютерная техника для школы","software_services","На поставку компьютерной техники для МАОУ СОШ №7"
"93195786","garbage","Мини-ПК (железо)","software_services","Поставка Мини-ПК"
"93163116","garbage","ViPNet Client (VPN-лицензия)","medical_ai_support","Передача права на использование новой версии ПО ViPNet Client"
"93005227","garbage","placeholder «до 600 тыс.»","software_services","Товары, работы или услуги на сумму, не превышающую 600 тыс. рублей, п.5 ч.1 ст. 93 44-ФЗ"
"92952023","keep","настоящий софт/ИС/AI","software_services","Разработка программных продуктов, информ. систем и/или их доработки АО""Апатит"""
"32615777064","garbage","техника для вуза","software_services","Поставка техники для нужд государственного образовательного учреждения высшего образования Московской области «Государственный гум"
"92649119","garbage","печи камерные","enterprise_rag_llm_assistant","печи камерные для обработки изделий из алюминиевых сплавов (3 единицы) печи камерные для обработки изделий из алюминиевых сплавов "
