tender_id,tenderguru_card_id,tender_name,customer,docs_total,strict_hits,broad_hits,status
"131200001026002858","","2026-03194 Выполнение работ по поддержке и сопровождению государственной информационной системы Воронежской области «Региональный сегмент Единой государственной информационной системы здравоохранения Воронежской области» в части функционального компонента с использованием технологии искусственного интеллекта подсистемы PC ЕГИСЗ ЛИ/ЦАМИ ""ЦЕЛЬС""","МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОРОНЕЖСКОЙ ОБЛАСТИ","2","0","2","broad_hit"
"131200001026002883","","2026-03249 Выполнение работ по поддержке и сопровождению государственной информационной системы Воронежской области «Региональный сегмент Единой государственной информационной системы здравоохранения Воронежской области» в части функционального компонента с использованием технологии искусственного интеллекта системы поддержки принятия врачебных решений для прогнозирования ТОП - 3 диагнозов на основе данных электронной истории болезни","МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОРОНЕЖСКОЙ ОБЛАСТИ","2","0","2","broad_hit"
"173100012026000005","","Оказание услуг по эксплуатации государственной информационной системы по предупреждению, выявлению и пресечению ограничивающих конкуренцию соглашений (ГИС «Антикартель») Федеральной антимонопольной службы в 2026 году","ФЕДЕРАЛЬНАЯ АНТИМОНОПОЛЬНАЯ СЛУЖБА","2","0","2","broad_hit"
"301300279326000054","","Оказание услуг по предоставлению неисключительного право на использование доступа к цифровому корпоративному порталу как облачной SaaS-услуги для автоматизации внутренних процессов медицинской организации","","0","0","0","none"
"321100005826000010","","Услуги информационно-технологической поддержки баз данных справочно-правовых систем","УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО НАДЗОРУ В СФЕРЕ СВЯЗИ, ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ И МАССОВЫХ КОММУНИКАЦИЙ ПО СЕВЕРО-КАВКАЗСКОМУ ФЕДЕРАЛЬНОМУ ОКРУГУ","0","0","0","none"
"32616019750","94396680","Оказание услуг по предоставлению доступа к базе данных резюме с возможностью просмотра контактной информации соискателя с использованием API и публикациями вакансий","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ НАУЧНО-КЛИНИЧЕСКИЙ ЦЕНТР СПЕЦИАЛИЗИРОВАННЫХ ВИДОВ МЕДИЦИНСКОЙ ПОМОЩИ И МЕДИЦИНСКИХ ТЕХНОЛОГИЙ ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""","0","0","0","none"
"32616022178","94408881","Выполнение работ по модификации Личного Кабинета юридического лица в части автоматизации процесса отправки отчетности об устранении нарушений по предписаниям строительного контроля в электронном виде","АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛГАЗ""","2","0","2","broad_hit"
"32616023315","94413297","Оказание услуг по созданию подсистемы интеллектуального речевого взаимодействия государственной информационной системы в сфере здравоохранения Республики Мордовия","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ МОРДОВИЯ ""МЕДИЦИНСКИЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР""","0","0","0","none"
"32616028314","94446832","Право заключения договора на выполнение работ по созданию системы «Интеллектуальный помощник» с использованием искусственного интеллекта, в том числе большой языковой модели.","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ - РОССЕТИ""","0","0","0","none"
"32616033240","94481176","Оказание услуг по содействию Заказчику в формировании и поддержании положительного имиджа в информационном пространстве","МОСКОВСКИЙ ФОНД РЕНОВАЦИИ ЖИЛОЙ ЗАСТРОЙКИ","0","0","0","none"
