hypothesis_id,hypothesis_title,source,query,page,total,returned
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","обращения граждан","1","281","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","обращения граждан","2","281","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","обращения граждан","1","2562","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","обращения граждан","2","2542","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","обработка обращений","1","345","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","обработка обращений","2","345","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","обработка обращений","1","3391","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","обработка обращений","2","3371","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","классификация обращений","1","251","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","классификация обращений","2","251","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","классификация обращений","1","1234","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","классификация обращений","2","1231","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","единая система обращений","1","308","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","единая система обращений","2","308","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","единая система обращений","1","6474","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","единая система обращений","2","6454","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","служба 122","1","112","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","search","служба 122","2","112","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","служба 122","1","527","20"
"citizen-appeals-ai","AI-диспетчер обращений граждан","documentation","служба 122","2","523","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","нормативных правовых актов","1","505","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","нормативных правовых актов","2","505","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","нормативных правовых актов","1","15654","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","нормативных правовых актов","2","15647","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","мониторинг НПА","1","322","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","мониторинг НПА","2","322","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","мониторинг НПА","1","229","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","мониторинг НПА","2","228","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","анализ НПА","1","12","12"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","анализ НПА","2","0","0"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","анализ НПА","1","171","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","анализ НПА","2","169","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","правовой мониторинг","1","104","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","правовой мониторинг","2","104","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","правовой мониторинг","1","2753","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","правовой мониторинг","2","2735","20"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","regulation.gov.ru","1","8","8"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","search","regulation.gov.ru","2","0","0"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","regulation.gov.ru","1","7","7"
"npa-monitoring-ai","AI-мониторинг НПА и регуляторных изменений","documentation","regulation.gov.ru","2","0","0"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","распознавание документов","1","281","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","распознавание документов","2","281","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","распознавание документов","1","650","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","распознавание документов","2","641","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","автозаполнение документов","1","4","4"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","автозаполнение документов","2","0","0"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","автозаполнение документов","1","78","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","автозаполнение документов","2","78","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","извлечение данных из документов","1","12","12"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","извлечение данных из документов","2","0","0"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","извлечение данных из документов","1","778","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","извлечение данных из документов","2","777","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","сканирование и распознавание документов","1","23","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","сканирование и распознавание документов","2","23","3"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","сканирование и распознавание документов","1","180","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","сканирование и распознавание документов","2","180","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","OCR","1","54","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","search","OCR","2","54","20"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","OCR","1","19","19"
"document-intake-ocr","Document intake: OCR, проверка и автозаполнение документов","documentation","OCR","2","0","0"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","чат-бот","1","10","10"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","чат-бот","2","0","0"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","чат-бот","1","158","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","чат-бот","2","157","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","голосовой помощник","1","281","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","search","голосовой помощник","2","281","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","голосовой помощник","1","67","20"
"municipal-chatbot-contact-center","AI-контакт-центр и чат-бот для муниципальных услуг","documentation","голосовой помощник","2","67","20"
