tender_id,lookup_id,lookup_tend_num,date,niche,classification,relevance_score,matched_terms,matched_queries,query_groups,sources,tender_name,customer,category,region,price,end_time,tender_link,tenderguru_link,doc_links_from_documentation_search
"0372100047626000120","94547217","0372100047626000120","25-05-2026","ai_general","ai_core","10","искусственный интеллект","""искусственный интеллект""","ai_general","search","Поставка программно-аппаратного комплекса, адаптированного для внедрения системы поддержки принятия врачебных решений в области отоларингологии на основе ИИ для анализа КТ-изображений внутреннего уха","Федеральное государственное бюджетное учреждение ""Санкт-Петербургский научно-исследовательский институт уха, горла, носа и речи"" Министерства здравоохранения и социального развития Российской Федерации","Системная интеграция, оргтехника","Санкт-Петербург","57140003","02-06-2026","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0372100047626000120","https://www.tenderguru.ru/tender/94547217",""
"0373200082126000210","94546269","0373200082126000210","25-05-2026","computer_vision","ai_core","9","компьютерное зрение","""компьютерное зрение""","computer_vision","search","Оказание услуг по разметке 3D объектов с видеокамер и датчиков компьютерного зрения (лидары) с целью обучения нейросетей","Государственное бюджетное учреждение города Москвы ""Музей ретро-автомобилей""","Системная интеграция, оргтехника","Москва","20000000","02-06-2026","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0373200082126000210","https://www.tenderguru.ru/tender/94546269",""
"94517974","94517974","","23-05-2026","ai_general","ai_core","10","искусственный интеллект","""искусственный интеллект""","ai_general","search","Право заключения договора на оказание услуг по реализации решения «системы искусственного интеллекта по распознаванию результатов металлографического контроля на АО ЧМЗ»","Росатом","Системная интеграция, оргтехника","Удмуртия","2461621","03-06-2026","-","https://www.tenderguru.ru/tender/94517974",""
"32616037287","","32616037287","22-05-2026","process_automation","automation_software","35","искусственный интеллект; машинное обучение; нейронная сеть; автоматизация процессов","""искусственный интеллект""; ""машинное обучение""; ""нейронная сеть""; ""автоматизация процессов""","ai_general; ml; process_automation","documentation","Приобретение права на использование в виде простой (неисключительной) лицензии на внедрённый программный комплекс «Робот Диспетчер ЖКХ» для автоматизации обработки обращений жителей и услуги круглосуточной технической поддержки в соответствии с SLA","ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""УФАВОДОКАНАЛ""","Транспорт","Алтай","8006000","05-06-2026","","https://www.tenderguru.ru/tender/84176935","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTMxODY5 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110931869 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTMxODY4 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110931868"
"811500001126000023","","811500001126000023","22-05-2026","process_automation","automation_software","22","машинное обучение; автоматизация бизнес-процессов; автоматизация процессов","""машинное обучение""; ""автоматизация бизнес-процессов""; ""автоматизация процессов""","ml; process_automation","documentation","Модернизация Единой информационной системы по учету и управлению государственным и муниципальным имуществом Республики Татарстан","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЦИФРОВОЙ ТРАНСФОРМАЦИИ РЕСПУБЛИКИ ТАТАРСТАН""","Транспорт","Татарстан","200000000","11-06-2026","","https://www.tenderguru.ru/tender/84154928","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1BRTI2RDhCNzI5Mjk0N0U2OTA3RDFFQUMyOEFGOTlGOA%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=AE26D8B7292947E6907D1EAC28AF99F8 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0yMjIxOUM3MjU5REU0NzRFQTY3REE2MTg0RjhEQzkzRg%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=22219C7259DE474EA67DA6184F8DC93F | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1ERThENDM1NENFREM0MTFBQkRBNjI3RjkzOUQwMUY2NQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=DE8D4354CEDC411ABDA627F939D01F65"
"32616035986","","32616035986","22-05-2026","ai_general","ai_core","21","искусственный интеллект; машинное обучение","""искусственный интеллект""; ""машинное обучение""","ai_general; ml","documentation","Оказание услуг по предоставлению доступа к базе данных резюме с возможностью просмотра контактной информации соискателя с использованием API и публикациями вакансий","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ И ИНФОРМАТИКИ""","Транспорт","Новосибирская область","316649","29-05-2026","","https://www.tenderguru.ru/tender/84193692","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTIzMjc0 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110923274"
"32616037977","","32616037977","22-05-2026","ai_general","ai_core","21","искусственный интеллект; машинное обучение","""искусственный интеллект""; ""машинное обучение""","ai_general; ml","documentation","Поставка медицинских изделий с принадлежностями для нужд Центра, ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия, и специалистов, осуществляющих техническое обслуживание медицинских изделий","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""","Транспорт","Москва","33610000","08-06-2026","","https://www.tenderguru.ru/tender/84195156","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTM2MDA1 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110936005"
"0848300045426000402","94506847","0848300045426000402","22-05-2026","analytics","ai_core","20","искусственный интеллект; технологии искусственного интеллекта","""искусственный интеллект""; ""технологии искусственного интеллекта""","ai_general","search","Оказание услуг по сбору, обработке, контент-анализу информации и сопровождению модулей информационно-аналитической системы с использованием технологий искусственного интеллекта для нужд МКУ «Муниципальный центр управления регионом Одинцовского городского округа Московской области» в 2026 году (второе полугодие)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК ОДИНЦОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ""","Системная интеграция, оргтехника","Московская область","8768833","01-06-2026","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0848300045426000402","https://www.tenderguru.ru/tender/94506847",""
"0345100003326000071","94511664","0345100003326000071","22-05-2026","computer_vision","ai_core","19","искусственный интеллект; нейронная сеть","""искусственный интеллект""; ""нейронная сеть""","ai_general; ml","search","Поставка оборудования для системы телевизионного наблюдения (СТН)","Учреждение Российской академии наук Петербургский институт ядерной физики им.Б.П.Константинова РАН","Системная интеграция, оргтехника","Ленинградская область","1100471","02-06-2026","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0345100003326000071","https://www.tenderguru.ru/tender/94511664",""
"32616036607","","32616036607","22-05-2026","process_automation","automation_software","16","rpa; роботизация бизнес-процессов","""роботизация бизнес-процессов""; RPA","process_automation","documentation","Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по развитию и сопровождению роботизированных процессов на базе платформы PIX в 2026-2029 годах","АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""","Транспорт","Москва","","01-06-2026","","https://www.tenderguru.ru/tender/84194701","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTI3NDI2 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110927426 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTI3NDMz | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110927433"
