tender_id,tenderguru_card_id,documentation_result_id,date,niche,classification,relevance_score,matched_terms,matched_queries,query_groups,sources,reason,tender_name,customer,customer_inn,category,region,price,end_time,fz,etp,tender_num_outer,tender_link,tenderguru_link,doc_links_from_documentation_search,docs_count_in_card,docs_status,docs_ai_api_url,sphere,sphere_label,sphere_confidence,sphere_evidence,secondary_spheres,sphere_needs_review
"0372100047626000120","94547217","","25-05-2026","ai_general","ai_core","10","искусственный интеллект","""искусственный интеллект""","ai_general","search","найдено в карточке/названии; совпадения: искусственный интеллект; карточка содержит 500 символов описания","Поставка программно-аппаратного комплекса, адаптированного для внедрения системы поддержки принятия врачебных решений в области отоларингологии на основе ИИ для анализа КТ-изображений внутреннего уха","Федеральное государственное бюджетное учреждение ""Санкт-Петербургский научно-исследовательский институт уха, горла, носа и речи"" Министерства здравоохранения и социального развития Российской Федерации","7809016254","Системная интеграция, оргтехника","Санкт-Петербург","57140003","02-06-2026","44","РТС-тендер","0372100047626000120","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0372100047626000120","https://www.tenderguru.ru/tender/94547217","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94547217&ff=a&drl=1","healthcare","Медицина","high","Предмет связан с врачебными решениями и анализом КТ-изображений для медицинского института.","","false"
"0373200082126000210","94546269","","25-05-2026","computer_vision","ai_core","9","компьютерное зрение","""компьютерное зрение""","computer_vision","search","найдено в карточке/названии; совпадения: компьютерное зрение; карточка содержит 500 символов описания","Оказание услуг по разметке 3D объектов с видеокамер и датчиков компьютерного зрения (лидары) с целью обучения нейросетей","Государственное бюджетное учреждение города Москвы ""Музей ретро-автомобилей""","7709501828","Системная интеграция, оргтехника","Москва","20000000","02-06-2026","44","Росэлторг (roseltorg) - Единая электронная торговая площадка","0373200082126000210","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0373200082126000210","https://www.tenderguru.ru/tender/94546269","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94546269&ff=a&drl=1","culture_sport","Культура / спорт / туризм","medium","Заказчик является музеем, но предмет разметки 3D/лидарных данных может иметь смежный транспортный контекст.","transport_logistics","true"
"94517974","94517974","","23-05-2026","ai_general","ai_core","10","искусственный интеллект","""искусственный интеллект""","ai_general","search","найдено в карточке/названии; совпадения: искусственный интеллект; карточка содержит 500 символов описания","Право заключения договора на оказание услуг по реализации решения «системы искусственного интеллекта по распознаванию результатов металлографического контроля на АО ЧМЗ»","Росатом","","Системная интеграция, оргтехника","Удмуртия","2461621","03-06-2026","","","","-","https://www.tenderguru.ru/tender/94517974","","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94517974&ff=a&drl=1","industry_energy","Промышленность / энергетика","high","Решение применяется для металлографического контроля на предприятии Росатома.","","false"
"32616037287","94509926","84176935","22-05-2026","process_automation","automation_software","35","искусственный интеллект; машинное обучение; нейронная сеть; автоматизация процессов","""искусственный интеллект""; ""машинное обучение""; ""нейронная сеть""; ""автоматизация процессов""","ai_general; ml; process_automation","documentation","найдено также в документации; совпадения: искусственный интеллект, машинное обучение, нейронная сеть, автоматизация процессов; карточка содержит 500 символов описания","Приобретение права на использование в виде простой (неисключительной) лицензии на внедрённый программный комплекс «Робот Диспетчер ЖКХ» для автоматизации обработки обращений жителей и услуги круглосуточной технической поддержки в соответствии с SLA","ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""УФАВОДОКАНАЛ""","275000238","Системная интеграция, оргтехника","Башкортостан","8006000","05-06-2026","223","","32616037287","https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=32616037287&morphology=on&search-filter=Дате+размещения&pageNumber=1&sortDirection=false&recordsPerPage=_10&showLotsInfoHidden=false&sortBy=UPDATE_DATE&fz44=on&fz223=on&af=on&ca=on&pc=on&pa=on&currencyIdGeneral=-1","https://www.tenderguru.ru/tender/94509926","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTMxODY5 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110931869 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTMxODY4 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110931868 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTMxODY4 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTMxODY5","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94509926&ff=a&drl=1","utilities","ЖКХ / коммунальная инфраструктура","high","Уфаводоканал закупает робота для обработки обращений жителей в ЖКХ-контексте.","public_admin","false"
"811500001126000023","","84154928","22-05-2026","process_automation","automation_software","22","машинное обучение; автоматизация бизнес-процессов; автоматизация процессов","""машинное обучение""; ""автоматизация бизнес-процессов""; ""автоматизация процессов""","ml; process_automation","documentation","найдено также в документации; совпадения: машинное обучение, автоматизация бизнес-процессов, автоматизация процессов","Модернизация Единой информационной системы по учету и управлению государственным и муниципальным имуществом Республики Татарстан","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЦИФРОВОЙ ТРАНСФОРМАЦИИ РЕСПУБЛИКИ ТАТАРСТАН""","","Транспорт","Татарстан","200000000","11-06-2026","","","","","https://www.tenderguru.ru/tender/84154928","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1BRTI2RDhCNzI5Mjk0N0U2OTA3RDFFQUMyOEFGOTlGOA%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=AE26D8B7292947E6907D1EAC28AF99F8 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0yMjIxOUM3MjU5REU0NzRFQTY3REE2MTg0RjhEQzkzRg%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=22219C7259DE474EA67DA6184F8DC93F | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1ERThENDM1NENFREM0MTFBQkRBNjI3RjkzOUQwMUY2NQ%3D%3D | https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=DE8D4354CEDC411ABDA627F939D01F65","0","docsXML empty in tender card","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=811500001126000023&ff=a&drl=1","public_admin","Госуправление","high","Система предназначена для учета и управления государственным и муниципальным имуществом региона.","","false"
"32616035986","94498226","84193692","22-05-2026","ai_general","ai_core","21","искусственный интеллект; машинное обучение","""искусственный интеллект""; ""машинное обучение""","ai_general; ml","documentation","найдено также в документации; совпадения: искусственный интеллект, машинное обучение; карточка содержит 500 символов описания","Оказание услуг по предоставлению доступа к базе данных резюме с возможностью просмотра контактной информации соискателя с использованием API и публикациями вакансий","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ И ИНФОРМАТИКИ""","5405101327","Системная интеграция, оргтехника","Новосибирская область","316649","29-05-2026","223","РТС-тендер","32616035986","https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=32616035986&morphology=on&search-filter=Дате+размещения&pageNumber=1&sortDirection=false&recordsPerPage=_10&showLotsInfoHidden=false&sortBy=UPDATE_DATE&fz44=on&fz223=on&af=on&ca=on&pc=on&pa=on&currencyIdGeneral=-1","https://www.tenderguru.ru/tender/94498226","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTIzMjc0 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110923274 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTIzMjc2 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTIzMjc3 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTIzMjc0 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTIzMjc1","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94498226&ff=a&drl=1","education_science","Образование / наука","medium","Заказчик является вузом, хотя сама закупка относится к HR-доступу и вакансиям.","it_internal","true"
"32616037977","94511066","84195156","22-05-2026","ai_general","ai_core","21","искусственный интеллект; машинное обучение","""искусственный интеллект""; ""машинное обучение""","ai_general; ml","documentation","найдено также в документации; совпадения: искусственный интеллект, машинное обучение; карточка содержит 500 символов описания","Поставка медицинских изделий с принадлежностями для нужд Центра, ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия, и специалистов, осуществляющих техническое обслуживание медицинских изделий","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ЗДОРОВЬЯ ДЕТЕЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","7707308480","Промышленные товары","Москва","33610000","08-06-2026","223","Сбербанк-АСТ - электронная торговая площадка","32616037977","https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=32616037977&morphology=on&search-filter=Дате+размещения&pageNumber=1&sortDirection=false&recordsPerPage=_10&showLotsInfoHidden=false&sortBy=UPDATE_DATE&fz44=on&fz223=on&af=on&ca=on&pc=on&pa=on&currencyIdGeneral=-1","https://www.tenderguru.ru/tender/94511066","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTM2MDA1 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110936005 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTM2MDA1","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94511066&ff=a&drl=1","healthcare","Медицина","high","Закупаются медицинские изделия для национального медицинского исследовательского центра.","","false"
"0848300045426000402","94506847","","22-05-2026","analytics","ai_core","20","искусственный интеллект; технологии искусственного интеллекта","""искусственный интеллект""; ""технологии искусственного интеллекта""","ai_general","search","найдено в карточке/названии; совпадения: искусственный интеллект, технологии искусственного интеллекта; карточка содержит 500 символов описания","Оказание услуг по сбору, обработке, контент-анализу информации и сопровождению модулей информационно-аналитической системы с использованием технологий искусственного интеллекта для нужд МКУ «Муниципальный центр управления регионом Одинцовского городского округа Московской области» в 2026 году (второе полугодие)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК ОДИНЦОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ""","5032203563","Системная интеграция, оргтехника","Московская область","8768833","01-06-2026","44","РТС-тендер","0848300045426000402","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0848300045426000402","https://www.tenderguru.ru/tender/94506847","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0xMUM5RUI1MjBDNDc0NzVDOUI1MDVGMTk5RjI4MjVBRA | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0yQTlBRDNDRDBGNzA0MkFEQUVBQjNDRjg5NUQ5ODlGQQ | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0xMTNEQUIyNTZFNzM0Q0Q5ODlFODhENkU5NTEwOTNBMA | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0yQjJDMzlBOEY3QjE0MjIyOTRBMDhBMEM2QjE2RDlCRg | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1CMkREQTk0RjQyNkU0QUE4Qjk0OTk0RkQ5MkVDMkYzMQ | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0wQUFBNTlEQzQyNTQ0ODg0QUY4QkEwOEYwRDkzMzIwOQ | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD0zOUI2MjgyMzFGRTM0REY2QjJDNzE1MkI3REMwMUYxQQ","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94506847&ff=a&drl=1","public_admin","Госуправление","high","Информационно-аналитическая система используется муниципальным центром управления регионом.","","false"
"0345100003326000071","94511664","","22-05-2026","computer_vision","ai_core","19","искусственный интеллект; нейронная сеть","""искусственный интеллект""; ""нейронная сеть""","ai_general; ml","search","найдено в карточке/названии; совпадения: искусственный интеллект, нейронная сеть; карточка содержит 500 символов описания","Поставка оборудования для системы телевизионного наблюдения (СТН)","Учреждение Российской академии наук Петербургский институт ядерной физики им.Б.П.Константинова РАН","4705001850","Системная интеграция, оргтехника","Ленинградская область","1100471","02-06-2026","44","РТС-тендер","0345100003326000071","http://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0345100003326000071","https://www.tenderguru.ru/tender/94511664","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1CMjBDNjc4REJCNzk0NjA5QURDMzE1NTAxNjcyRDBDMQ | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD03NzJGQzkxRkUwNjI0NkVCOTc1NjgwMEI4RUEwNUE2Qw | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD00MjA1MUUxMzRDNjY0QjA2OTM2MUQzRTU3NEU4QTFFNw | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD02NTQ0Q0NFNDc4Q0M0NjQ5QkU4QUM5NTdGRjJCMTYyNQ | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS80NGZ6L2ZpbGVzdG9yZS9wdWJsaWMvMS4wL2Rvd25sb2FkL3ByaXovZmlsZS5odG1sP3VpZD1FMTdGRTM2RUMxQjI0OEQ1QkMyN0ZEMzVDQTNCOTg3Qg","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94511664&ff=a&drl=1","security","Безопасность","high","Предмет закупки — оборудование для системы телевизионного наблюдения.","education_science","false"
"32616036607","94506186","84194701","22-05-2026","process_automation","automation_software","16","rpa; роботизация бизнес-процессов","""роботизация бизнес-процессов""; RPA","process_automation","documentation","найдено также в документации; совпадения: rpa, роботизация бизнес-процессов; карточка содержит 500 символов описания","Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по развитию и сопровождению роботизированных процессов на базе платформы PIX в 2026-2029 годах","АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""","7701984274","Системная интеграция, оргтехника","Москва","","01-06-2026","223","Росэлторг (roseltorg) - Единая электронная торговая площадка","32616036607","https://zakupki.gov.ru/epz/order/extendedsearch/results.html?searchString=32616036607&morphology=on&search-filter=Дате+размещения&pageNumber=1&sortDirection=false&recordsPerPage=_10&showLotsInfoHidden=false&sortBy=UPDATE_DATE&fz44=on&fz223=on&af=on&ca=on&pc=on&pa=on&currencyIdGeneral=-1","https://www.tenderguru.ru/tender/94506186","https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTI3NDI2 | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110927426 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw%2FaWQ9MTEwOTI3NDMz | https://zakupki.gov.ru/223/purchase/public/download/download.html?id=110927433 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTI3NDMy | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTI3NDMz | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTI3NDI4 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTI3NDI5 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTI3NDMw | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTI3NDMx | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTI3NDI1 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTI3NDI2 | https://www.tenderguru.ru/docviewer/aHR0cHM6Ly96YWt1cGtpLmdvdi5ydS8yMjMvcHVyY2hhc2UvcHVibGljL2Rvd25sb2FkL2Rvd25sb2FkLmh0bWw_aWQ9MTEwOTI3NDI3","1","docsXML available","https://www.tenderguru.ru/api2.3/export?dtype=json&mode=ai&act=webhook&t=94506186&ff=a&drl=1","utilities","ЖКХ / коммунальная инфраструктура","high","Заказчик Мосводоканал, работы по роботизации процессов коммунальной организации.","it_internal","false"
