tender_num,classification,relevant,score,reason,domain_terms,ai_automation_terms,platform_terms,negative_terms,queries,groups,sources,fz,status,name,customer,price_rub,publish_date,deadline,tender_link
"32616032847","noise","no","26","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, система электронного документооборота, документооборот","электронного документооборота; система электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","223-ФЗ Конкурс в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства","Закупка завершена","Оказание услуг по модернизации мобильного приложения для государственной информационной системы «Система электронного документооборота в органах исполнительной власти Чувашской Республики»","АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ"" МИНИСТЕРСТВА ЦИФРОВОГО РАЗВИТИЯ, ИНФОРМАЦИОННОЙ ПОЛИТИКИ И МАССОВЫХ КОММУНИКАЦИЙ ЧУВАШСКОЙ РЕСПУБЛИКИ","4124112.00","21.05.2026","29.05.2026","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32616032847"
"0875100006326000076","noise","no","26","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, система электронного документооборота, документооборот","электронного документооборота; система электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Электронный аукцион","Подача заявок","Оказание образовательной услуги по дополнительному профессиональному образованию безработных граждан, женщин в период отпуска по уходу за ребенком до достижения им возраста трех лет, незанятых граждан, которым в соответствии с законодательством Российской Федерации назначена страховая пенсия по старости и которые стремятся возобновить трудовую деятельность по программе повышения квалификации «Организация работы с электронными документами. Система электронного документооборота в курортно-туристичеcкой сфере»","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КРЫМ ""ЦЕНТР ЗАНЯТОСТИ НАСЕЛЕНИЯ""","50166.69","21.05.2026","02.06.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0875100006326000076"
"0356500001426004115","noise","no","26","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, система электронного документооборота, документооборот","электронного документооборота; система электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","attached_file","44-ФЗ Открытый конкурс в электронной форме","Подача заявок","Оказание услуг по сопровождению и эксплуатации автоматизированной информационной системы «Система электронного документооборота Пермского края»","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПЕРМСКОГО КРАЯ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""","27200000.00","13.05.2026","04.06.2026","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0356500001426004115"
"0111200000926000182","noise","no","26","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, система электронного документооборота, документооборот","электронного документооборота; система электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","card; attached_file","44-ФЗ Открытый конкурс в электронной форме","Определение поставщика завершено","Оказание услуг по предоставлению в аренду серверного оборудования (виртуальные серверы, резервное копирование данных), доработке и технической поддержке информационной системы «Система электронного документооборота в сфере закупок Республики Татарстан»","ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ ТАТАРСТАН ПО ЗАКУПКАМ","11130000.00","08.05.2026","25.05.2026","https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0111200000926000182"
"0818500000826002951","noise","no","26","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, система электронного документооборота, документооборот","электронного документооборота; система электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота""","edo_core","attached_file; card","44-ФЗ Электронный аукцион","Определение поставщика завершено","Оказание услуг по предоставлению лицензионных (неисключительных) прав на программное обеспечение ""Модуль интеграции с УРВД"" и его внедрению в государственную информационную систему Краснодарского края ""Единая межведомственная система электронного документооборота исполнительных органов государственной власти Краснодарского края""","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""","1632000.00","06.05.2026","14.05.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0818500000826002951"
"0380200000126003263","noise","no","26","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, система электронного документооборота, документооборот","электронного документооборота; система электронного документооборота; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | СЭД","edo_core","attached_file; card","44-ФЗ Электронный аукцион","Определение поставщика завершено","Оказание услуг по передаче неисключительных прав на использование программного обеспечения система электронного документооборота Правительства Республики Хакасия и система электронного документооборота администраций муниципальных образований Республики Хакасия","ГОСУДАРСТВЕННЫЙ КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК РЕСПУБЛИКИ ХАКАСИЯ","9996869.00","05.05.2026","13.05.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0380200000126003263"
"32616057383","noise","no","24","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, сэд, документооборот","электронного документооборота; сэд; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | СЭД","edo_core","card; attached_file","223-ФЗ Иной способ","Подача заявок","Выполнение работ по внедрению системы электронного документооборота (ПО СЭД), передаваемых заказчику в рамках реализации проекта","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АБАЗА-ЭНЕРГО""","1244177.20","28.05.2026","10.06.2026","https://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32616057383"
"0150600008726000043","noise","no","24","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, сэд, документооборот","электронного документооборота; сэд; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | СЭД","edo_core","card; attached_file","44-ФЗ Запрос котировок в электронной форме","Подача заявок","Передача неисключительных (пользовательских) прав на лицензии прикладного программного обеспечения системы электронного документооборота (ПО СЭД «ДЕЛО»","АДМИНИСТРАЦИЯ ЧУДОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА НОВГОРОДСКОЙ ОБЛАСТИ","105600.00","18.05.2026","28.05.2026","https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0150600008726000043"
"0373100012826000021","noise","no","24","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, сэд, документооборот","электронного документооборота; сэд; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | СЭД","edo_core","card; attached_file","44-ФЗ Запрос котировок в электронной форме","Определение поставщика завершено","Оказание услуг по развитию функциональных возможностей системы электронного документооборота Федерального агентства водных ресурсов в части информационного взаимодействия ведомственной СЭД на платформе Тесса («Tessa») с МЭДО версии 3.0","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФОНД ИНФОРМАЦИИ ПО ВОДНЫМ РЕСУРСАМ""","1810310.00","12.05.2026","19.05.2026","https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0373100012826000021"
"0372200289926000047","noise","no","24","найдено в карточке/документах ЕИС; класс=noise; совпадения: электронного документооборота, сэд, документооборот","электронного документооборота; сэд; документооборот","","","","""электронный документооборот"" | ""электронного документооборота"" | ""система электронного документооборота"" | СЭД | делопроизводство","edo_core","attached_file; card","44-ФЗ Электронный аукцион","Определение поставщика завершено","Оказание услуг по сопровождению сегмента Единой системы электронного документооборота и делопроизводства исполнительных органов государственной власти Санкт-Петербурга (ЕСЭДД)","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ СТАЦИОНАРНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ ""ДОМ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""ПАРУС""","129279.08","04.05.2026","12.05.2026","https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0372200289926000047"
