tender_num,tender_name,customer,price_rub,fz,is_tz,doc_name,doc_url,doc_size,docs_url
"0173100010926000043","Выполнение работ по развитию автоматизированной системы электронного документооборота в центральном аппарате и территориальных органах Росреестра","ФЕДЕРАЛЬНАЯ СЛУЖБА ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ, КАДАСТРА И КАРТОГРАФИИ","7000000.00","44-ФЗ Открытый конкурс в электронной форме","no","Приложение №5 Проект ГК","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=63810CDAEA3248E1BEA3D1BDCA52D34C","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0173100010926000043"
"0173100010926000043","Выполнение работ по развитию автоматизированной системы электронного документооборота в центральном аппарате и территориальных органах Росреестра","ФЕДЕРАЛЬНАЯ СЛУЖБА ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ, КАДАСТРА И КАРТОГРАФИИ","7000000.00","44-ФЗ Открытый конкурс в электронной форме","no","Извещение","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=592FE1076C4A446AACEC851237497E19","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0173100010926000043"
"0173100010926000043","Выполнение работ по развитию автоматизированной системы электронного документооборота в центральном аппарате и территориальных органах Росреестра","ФЕДЕРАЛЬНАЯ СЛУЖБА ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ, КАДАСТРА И КАРТОГРАФИИ","7000000.00","44-ФЗ Открытый конкурс в электронной форме","no","Приложение №2 Обоснование НМЦК","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=65D83B6254FA42F3B316E9E094161B5A","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0173100010926000043"
"0173100010926000043","Выполнение работ по развитию автоматизированной системы электронного документооборота в центральном аппарате и территориальных органах Росреестра","ФЕДЕРАЛЬНАЯ СЛУЖБА ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ, КАДАСТРА И КАРТОГРАФИИ","7000000.00","44-ФЗ Открытый конкурс в электронной форме","yes","Приложение №1 Техническое задание СЭД","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=6DD0A4EA8A7A49DFB4E4DC35FE342332","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0173100010926000043"
"0173100010926000043","Выполнение работ по развитию автоматизированной системы электронного документооборота в центральном аппарате и территориальных органах Росреестра","ФЕДЕРАЛЬНАЯ СЛУЖБА ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ, КАДАСТРА И КАРТОГРАФИИ","7000000.00","44-ФЗ Открытый конкурс в электронной форме","no","Приложение №4 Критерии оценки","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=124809E3918342BAB3D9A3527340E4C4","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0173100010926000043"
"0173100010926000043","Выполнение работ по развитию автоматизированной системы электронного документооборота в центральном аппарате и территориальных органах Росреестра","ФЕДЕРАЛЬНАЯ СЛУЖБА ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ, КАДАСТРА И КАРТОГРАФИИ","7000000.00","44-ФЗ Открытый конкурс в электронной форме","no","Приложение №3 Требования к заявке","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=6312F2AE0CCD4C428CF2CC2D4FD93AD8","","https://zakupki.gov.ru/epz/order/notice/ok20/view/documents.html?regNumber=0173100010926000043"
"0143200000926000021","Оказание услуг по передаче неисключительных прав на использование программного обеспечения в составе лицензии - модуль взаимодействия с системой межведомственного электронного документооборота и его адаптации для системы автоматизации делопроизводства и электронного документооборота «Дело»","КУРГАНСКАЯ ОБЛАСТНАЯ ДУМА","367000.00","44-ФЗ Электронный аукцион","no","Обоснование начальной (максимальной) цены контракта","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=1C1CF1FEC87F4036A364B4B7E6B17339","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0143200000926000021"
"0143200000926000021","Оказание услуг по передаче неисключительных прав на использование программного обеспечения в составе лицензии - модуль взаимодействия с системой межведомственного электронного документооборота и его адаптации для системы автоматизации делопроизводства и электронного документооборота «Дело»","КУРГАНСКАЯ ОБЛАСТНАЯ ДУМА","367000.00","44-ФЗ Электронный аукцион","no","Проект контракта","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=79A01CCC6FE445E38D51A43B60105C00","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0143200000926000021"
"0143200000926000021","Оказание услуг по передаче неисключительных прав на использование программного обеспечения в составе лицензии - модуль взаимодействия с системой межведомственного электронного документооборота и его адаптации для системы автоматизации делопроизводства и электронного документооборота «Дело»","КУРГАНСКАЯ ОБЛАСТНАЯ ДУМА","367000.00","44-ФЗ Электронный аукцион","yes","Описание объекта закупки (Техническое задание)","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=D4CA591635F64967A8E3A0657636C4A8","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0143200000926000021"
"0143200000926000021","Оказание услуг по передаче неисключительных прав на использование программного обеспечения в составе лицензии - модуль взаимодействия с системой межведомственного электронного документооборота и его адаптации для системы автоматизации делопроизводства и электронного документооборота «Дело»","КУРГАНСКАЯ ОБЛАСТНАЯ ДУМА","367000.00","44-ФЗ Электронный аукцион","no","Требования к содержанию и составу заявки на участие в аукционе","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=9A971B6E8A15457F89CA9414EDC49FBB","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0143200000926000021"
"0154200000726000384","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","44-ФЗ Электронный аукцион","no","Приложение № 4. А. Требования к содержанию и составу заявки","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=B5A7C0BD46054216B0ECBD4DF61307EA","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0154200000726000384"
"0154200000726000384","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","44-ФЗ Электронный аукцион","no","Приложение № 2 Проект контракта модуль МЭДО расширенный","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=A09C1671AE4D42378990126B607B3083","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0154200000726000384"
"0154200000726000384","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","44-ФЗ Электронный аукцион","yes","Приложение № 3 Описание объекта закупки модуль МЭДО расширенный","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=A30818EEB9174C339AF83BD18D871616","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0154200000726000384"
"0154200000726000384","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","44-ФЗ Электронный аукцион","no","Приложение № 1 Обоснование НМЦК модуль МЭДО расширенный","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=B14DD087B7CE4296BCF8EB95E0A4378E","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0154200000726000384"
