tender_id,date,name,customer,category,region,price_rub,price_M,end_time,fz,groups,queries,sources,link
"84228101","27-05-2026","Выполнение работ по развитию автоматизированных информационных систем ФНС России (шестая очередь)","ФЕДЕРАЛЬНАЯ НАЛОГОВАЯ СЛУЖБА","Транспорт","Москва","1214044200","1214.0","17-06-2026","","smeta_normative","""ФГИС ЦС""","documentation","https://www.tenderguru.ru/tender/84228101"
"84246162","25-05-2026","Выполнение работ по реконструкции объекта капитального строительства в сфере здравоохранения по объекту: ""Реконструкция здания лечебного корпуса центра функциональной хирургии и гастроэнтерологии для размещения многопрофильного реабилитационного центра ГБУЗ ""Научно-исследовательский институт - Краевая клиническая больница № 1 имени профессора С.В. Очаповского, г. Краснодар""","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННЫХ ЗАКУПОК""","Системная интеграция, оргтехника","Краснодарский край","1194126075","1194.1","04-06-2026","","smeta_profession; smeta_normative","""сметчик""; ""ФЕРы""","documentation","https://www.tenderguru.ru/tender/84246162"
"83989202","18-05-2026","Выполнение комплекса работ (услуг) в объеме, необходимом для строительства объекта: «Жилой дом с инженерными сетями и благоустройством территории по адресу: г. Москва, район Текстильщики, ул. Артюхиной, з/у 24 (Артюхиной ул., вл. 24) (Юго-Восточный административный округ)»","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЦЕНТРАЛИЗАЦИЯ СТРОИТЕЛЬНЫХ ЗАКУПОК""","Системная интеграция, оргтехника","Москва","1056813140","1056.8","03-06-2026","","smeta_control","""экспертиза сметной стоимости""","documentation","https://www.tenderguru.ru/tender/83989202"
"84145511","22-05-2026","2026/1-111 Выполнение комплекса работ по объекту ""Реконструкция ПС 220 кВ Тойма-2 (пусковой комплекс №3, 2026-2027 год)"".","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТЕВАЯ КОМПАНИЯ""","Системная интеграция, оргтехника","Татарстан","913797351","913.8","02-06-2026","","smeta_service; psd","""составление смет""; ""разработка ПСД""","documentation","https://www.tenderguru.ru/tender/84145511"
"84154209","22-05-2026","2026/1-111 Выполнение комплекса работ по объекту ""Реконструкция ПС 220 кВ Тойма-2 (пусковой комплекс №3, 2026-2027 год)"".","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТЕВАЯ КОМПАНИЯ""","Системная интеграция, оргтехника","Татарстан","913797351","913.8","02-06-2026","","psd","""разработка ПСД""","documentation","https://www.tenderguru.ru/tender/84154209"
"84191133","22-05-2026","2026/1-111 Выполнение комплекса работ по объекту ""Реконструкция ПС 220 кВ Тойма-2 (пусковой комплекс №3, 2026-2027 год)"".","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕТЕВАЯ КОМПАНИЯ""","Системная интеграция, оргтехника","Татарстан","913797351","913.8","02-06-2026","","psd","""разработка ПСД""","documentation","https://www.tenderguru.ru/tender/84191133"
"84094066","22-05-2026","Выполнение работ по объекту ""Ремонт автомобильной дороги Могойтуй - Сретенск - Олочи на участке км 427+000 - км 429+218; км 429+386 - км 435+310; км 435+366 - км 438+000 в Газимуро - Заводском муниципальном округе Забайкальского края"". (00006225-ОК)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЗАБАЙКАЛЬСКИЙ ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК""","Системная интеграция, оргтехника","Читинская область","551223206","551.2","11-06-2026","","smeta_service","""составление смет""","documentation","https://www.tenderguru.ru/tender/84094066"
"93936710","27-04-2026","Выполнение работ по проведению капитального ремонта и корректировке проектно – сметной документации по объекту: ""Капитальный ремонт МАОУ «СОШ № 61» г. Чебоксары по адресу: Чувашская Республика, г. Чебоксары, ул. Чернышевского, д. 16""","КАЗЕННОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК ЧУВАШСКОЙ РЕСПУБЛИКИ""","Строительство","Чувашия","502744132","502.7","12-05-2026","","psd","""проектно-сметная документация""","search","https://www.tenderguru.ru/tender/93936710"
"84050689","20-05-2026","Выполнение комплекса работ по корректировке проектно-сметной документации и проведению капитального ремонта объекта: общежитие филиала ФКП «Росгосцирк» «Ярославский государственный цирк» г. Ярославль, ул. Володарского, д. 10 в рамках федерального проекта «Семейные ценности и инфраструктура культуры»","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""РОССИЙСКАЯ ГОСУДАРСТВЕННАЯ ЦИРКОВАЯ КОМПАНИЯ""","Системная интеграция, оргтехника","Москва","501714239","501.7","10-06-2026","","smeta_control","""экспертиза сметной стоимости""","documentation","https://www.tenderguru.ru/tender/84050689"
"93936709","27-04-2026","Выполнение работ по проведению капитального ремонта и корректировке проектно – сметной документации по объекту: ""Капитальный ремонт МАОУ «СОШ № 59» г. Чебоксары по адресу: Чувашская Республика, г. Чебоксары, ул. Лебедева, д. 13""","КАЗЕННОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК ЧУВАШСКОЙ РЕСПУБЛИКИ""","Строительство","Чувашия","466039054","466.0","12-05-2026","","psd","""проектно-сметная документация""","search","https://www.tenderguru.ru/tender/93936709"
"83949827","15-05-2026","Выполнение проектно-изыскательских и строительно-монтажных работ по объекту: «Строительство и реконструкция тепловых сетей для переключения потребителей с котельной по адресу: Малоохтинский пр., д. 55, корп. 2, лит. А на котельную по адресу: Новочеркасский пр., д. 29, корп. 2»","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАКАЗЧИКА ПО СТРОИТЕЛЬСТВУ И КАПИТАЛЬНОМУ РЕМОНТУ ОБЪЕКТОВ ИНЖЕНЕРНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА""","Системная интеграция, оргтехника","Санкт-Петербург","369280947","369.3","01-06-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/83949827"
"84237377","25-05-2026","Выполнение работ по строительству, поставке оборудования и разработке рабочей документации по объекту капитального строительства «Строительство здания для размещения Нижнегорского районного суда Республики Крым»","УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В РЕСПУБЛИКЕ КРЫМ","Системная интеграция, оргтехника","Севастополь","329135192","329.1","18-06-2026","","smeta_service; psd","""составление смет""; ""проектно-сметная документация""","documentation","https://www.tenderguru.ru/tender/84237377"
"83986882","18-05-2026","Оснащение системой аэрозольного пожаротушения коллекторов: ""Николаевский"", ""Пресненский-1"", ""Пресненский-2""комплекса коллекторов ""Пресненский"" и коллектора ""Васильевский спуск""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОЛЛЕКТОР""","Системная интеграция, оргтехника","Москва","273372569","273.4","03-06-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/83986882"
"84041032","18-05-2026","Оснащение системой аэрозольного пожаротушения коллекторов: ""Николаевский"", ""Пресненский-1"", ""Пресненский-2""комплекса коллекторов ""Пресненский"" и коллектора ""Васильевский спуск""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОЛЛЕКТОР""","Системная интеграция, оргтехника","Москва","273372569","273.4","03-06-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/84041032"
"94225319","10-05-2026","Выполнение работ по капитальному ремонту токарно-карусельного станка модели 1580Л (инв. № 992)","АО ""АТОМКОМПЛЕКТ""","Оборудование","Москва","263662979","263.7","08-06-2026","","smeta_profession","""сметчик""","search","https://www.tenderguru.ru/tender/94225319"
"84171309","22-05-2026","Проектирование и строительство отдельно стоящей котельной мощностью 60 МВт на земельном участке с к.н. 23:43:0143021:82013 в г. Краснодар","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОВАЯ ТРАНСПОРТНАЯ КОМПАНИЯ""","Системная интеграция, оргтехника","Краснодарский край","262368417","262.4","27-05-2026","","smeta_control","""экспертиза сметной стоимости""","documentation","https://www.tenderguru.ru/tender/84171309"
